Date,Nifty,CCIL,Mibor,Gold,Hybrid
04-03-2005,7615.99,990.33,108.24,6099.6,1147.33
05-03-2005,7612,990.09,108.25,6094.1,1146.87
06-03-2005,7660.42,990.15,108.27,6098.26,1151.05
07-03-2005,7680.22,990.27,108.31,6081.55,1152.81
08-03-2005,7634.43,991.93,108.33,6103.15,1149.71
09-03-2005,7745,991.97,108.34,6044.16,1159.2
10-03-2005,7805.43,991.21,108.36,6102.99,1163.99
11-03-2005,7876.15,991.37,108.37,6208.1,1170.13
12-03-2005,7899.77,993.12,108.42,6207.87,1173.03
13-03-2005,7925.24,996.52,108.43,6217.67,1176.91
14-03-2005,7946.78,996.96,108.45,6200.21,1178.98
15-03-2005,7946.78,997.24,108.46,6206.45,1179.12
16-03-2005,8052.56,997.42,108.48,6238.5,1188.26
17-03-2005,8060.01,997.62,108.52,6266.36,1189
18-03-2005,8138.42,997.02,108.54,6272.06,1195.42
19-03-2005,8193.96,997.69,108.55,6233.78,1200.51
20-03-2005,8189.48,998.07,108.57,6295.91,1200.31
21-03-2005,8283.76,998.38,108.58,6358.76,1208.54
22-03-2005,8380.96,999.21,108.63,6421.62,1217.28
23-03-2005,8444.84,999.7,108.64,6495.73,1223
24-03-2005,8500.28,1000.13,108.66,6481.68,1227.96
25-03-2005,8487.14,1000.04,108.67,6596.32,1226.79
26-03-2005,8221.64,999.65,108.69,6509.88,1203.86
27-03-2005,8222.59,998.63,108.74,6479.36,1203.43
28-03-2005,8478.91,998.83,108.75,6522.11,1225.48
29-03-2005,8525.52,997.81,108.77,6481.58,1228.96
30-03-2005,8606.03,996.8,108.78,6578.5,1235.35
31-03-2005,8650.17,997.1,108.8,6615.78,1239.28
01-04-2005,8634.48,997.26,108.84,6569.36,1238.02
02-04-2005,8697.65,995.84,108.86,6537.75,1242.71
03-04-2005,8799.96,994.88,108.87,6555.42,1251
04-04-2005,8724.47,994.85,108.89,6543.15,1244.52
05-04-2005,8528.7,994.91,108.9,6657.44,1227.78
06-04-2005,8491.56,995.72,108.95,6701.34,1225
07-04-2005,8483.86,996.61,108.96,6777.57,1224.79
08-04-2005,8540.56,996.57,108.98,6784.79,1229.63
09-04-2005,8540.56,997.26,108.99,6716.59,1229.97
10-04-2005,8376.9,997.54,109.01,6747.12,1216.1
